IDStudy,t,PCC,SE PCC,quadratic,Zscore,NPL,profitability,profit_volat,capitalization,dummies,DtoD,Lerner,Hstatistic,Concentration,HHI,Boone,developed,undeveloped,GMM,2SLS,Logit,FE,RE,OLS,T,Samplesize,endogeneity,macro,someAveraged,sampleyear,IFrecursive,citations,reviewed_journal,regulation,global,ownership,firstpub,investperst
5,-2.960651289009498,-0.17732410657034894,0.05989361436404545,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,270,0,1,0,0.0,0.239,4.164077900236776,1,0,1,0,3,0.041666666666666664
5,-1.7642857142857142,-0.06116145961904914,0.034666414358975224,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,829,0,1,0,0.0,0.239,4.164077900236776,1,0,1,0,3,0.041666666666666664
5,1.8902439024390243,0.06002822402311132,0.03175686690254922,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,988,0,1,0,0.0,0.239,4.164077900236776,1,0,1,0,3,0.041666666666666664
5,-1.90521327014218,-0.07866137316621136,0.041287437159379596,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,583,0,1,0,0.0,0.239,4.164077900236776,1,1,1,0,3,0.041666666666666664
5,-1.838862559241706,-0.06625160007277783,0.03602857632823743,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,767,0,1,0,0.0,0.239,4.164077900236776,1,1,1,0,3,0.041666666666666664
5,-2.0,-0.08333333333333333,0.041666666666666664,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,572,0,1,0,0.0,0.239,4.164077900236776,1,1,1,0,3,0.041666666666666664
5,-2.15625,-0.07823345473660798,0.03628218190683268,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,755,0,1,0,0.0,0.239,4.164077900236776,1,1,1,0,3,0.041666666666666664
5,-2.2450592885375498,-0.07245745646050678,0.032274183951598964,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,955,0,1,0,0.0,0.239,4.164077900236776,1,1,1,0,3,0.041666666666666664
5,-2.1872659176029963,-0.07060164220838243,0.03227849053020224,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,955,0,1,0,0.0,0.239,4.164077900236776,1,1,1,0,3,0.041666666666666664
5,-2.152263374485597,-0.06827828099154648,0.03172394317580458,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,989,0,1,0,0.0,0.239,4.164077900236776,1,1,1,0,3,0.041666666666666664
5,-2.2650602409638556,-0.07309953669324794,0.03227266779542329,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,955,0,1,0,0.0,0.239,4.164077900236776,1,1,1,0,3,0.041666666666666664
