id,idstudy,e,se,t,nobs,good,r,ser,precr,invperstudy
19,2,0.0128,0.0243,0.5267489711934157,712,1,0.019736906967671924,0.037469284321439665,26.6885268323048,23
20,2,0.0122,0.0209,0.583732057416268,638,1,0.02310400458831902,0.03957981113900553,25.265406054818424,23
21,2,-0.0595,0.0505,-1.1782178217821782,710,1,-0.044174562793662865,0.037492696152604615,26.671861525502216,23
22,2,-0.28,0.138,-2.028985507246377,690,1,-0.07701275725720781,0.03795628750533813,26.34609614703127,23
23,2,0.000197,0.0103,0.01912621359223301,680,1,0.0007334566124382441,0.038348239127481795,26.076816634935454,23
24,1,-0.0414,0.0091,-4.549450549450549,813,0,-0.15756316614346164,0.03463344956293481,28.873820327450538,3
25,1,-0.0235,0.0184,-1.2771739130434783,339,0,-0.0692002787854222,0.05418234594262845,18.456196065391126,3
26,1,-0.0045,0.0052,-0.8653846153846153,200,0,-0.06107768857625725,0.07057866235478616,14.168588162994377,3
27,3,-6.03,2.169064748201439,-2.78,87,0,-0.28563057551673426,0.10274481133695477,9.732851586251584,1
28,4,-0.19,0.09693877551020408,-1.96,242,1,-0.12500528784592918,0.06377820808465774,15.679336720665196,38
29,4,-0.032,0.012403100775193798,-2.58,237,1,-0.16528399230047122,0.06406356290715938,15.609497109131995,38
30,4,-0.029,0.01124031007751938,-2.58,237,1,-0.16528399230047122,0.06406356290715938,15.609497109131995,38
31,4,-0.034,0.01317829457364341,-2.58,206,1,-0.17692144475069924,0.06857420339174389,14.582743226156044,38
32,4,-0.02,0.010204081632653062,-1.96,174,1,-0.14697362060244035,0.07498654112369406,13.335726451903547,38
33,4,-0.036,0.013953488372093021,-2.58,237,1,-0.16528399230047122,0.06406356290715938,15.609497109131995,38
34,4,-0.027,0.010465116279069767,-2.58,227,1,-0.1687838408185119,0.06542009334050848,15.285823497607186,38
35,4,-0.038,0.014728682170542635,-2.58,242,1,-0.16361378254505676,0.06341619478490572,15.76884269691343,38
36,4,-0.033,0.012790697674418604,-2.58,237,1,-0.16528399230047122,0.06406356290715938,15.609497109131995,38
37,4,-0.031,0.012015503875968992,-2.58,237,1,-0.16528399230047122,0.06406356290715938,15.609497109131995,38
38,4,-0.029,0.01124031007751938,-2.58,206,1,-0.17692144475069924,0.06857420339174389,14.582743226156044,38
39,4,-0.018,0.009183673469387754,-1.96,174,1,-0.14697362060244035,0.07498654112369406,13.335726451903547,38
40,4,-0.036,0.013953488372093021,-2.58,237,1,-0.16528399230047122,0.06406356290715938,15.609497109131995,38
41,4,-0.021,0.010714285714285714,-1.96,227,1,-0.129002769317828,0.06581773944787143,15.193472282529756,38
42,4,-0.027,0.010465116279069767,-2.58,227,1,-0.1687838408185119,0.06542009334050848,15.285823497607186,38
43,4,-0.021,0.010714285714285714,-1.96,227,1,-0.129002769317828,0.06581773944787143,15.193472282529756,38
