id,idstudy,eis,se,micro,panel,quasipan,sepdur,sepgov,septrd,seplab,seprisk,habits,inverse,secord,exact,yearfe,totalc,food,tastes,ml,tsls,coint,ols,bayes,income,inflinst,firstlag,stockhold,nonstock,irstock,ircap,country,idcountry,annual,monthly,startyear,endyear,periods,obs,csunits,years,avyear,top,impact,cits,yearcits,pubyear,comb,study,perstudy,last
39,2,6.097560975609756,2.082093991671624,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1954,1978,97,97,1.0,24.25,1966.0,1,2.159,1368,45.6,1983,0,Hansen and Singleton (1983),14,0
40,2,5.319148936170213,1.6976007243096423,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1954,1978,97,97,1.0,24.25,1966.0,1,2.159,1368,45.6,1983,0,Hansen and Singleton (1983),14,0
41,2,1.0741138560687433,0.050763705335150046,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1954,1978,97,97,1.0,24.25,1966.0,1,2.159,1368,45.6,1983,0,Hansen and Singleton (1983),14,0
42,2,0.7757951900698216,0.052963519570321416,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1954,1978,97,97,1.0,24.25,1966.0,1,2.159,1368,45.6,1983,0,Hansen and Singleton (1983),14,0
43,2,0.032701111837802485,0.036422494087493554,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,USA,112,0,1,1959,1978,239,239,1.0,19.916666,1968.5,1,2.159,1368,45.6,1983,0,Hansen and Singleton (1983),14,0
44,2,0.017167381974248927,0.019619444086278987,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,USA,112,0,1,1959,1978,239,239,1.0,19.916666,1968.5,1,2.159,1368,45.6,1983,0,Hansen and Singleton (1983),14,1
45,3,4.273504273504273,3.999561691869384,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
46,3,5.74712643678161,6.572862993790462,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
47,3,1.953125,0.736236572265625,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
48,3,3.0303030303030303,2.176308539944903,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,USA,112,0,0,1947,1981,137,137,1.0,34.25,1964.0,1,3.645,464,16.571428,1985,0,Mankiw  et al. (1985),18,0
