idstudy,idauthor,study,discrate,standard_error,hyperbolic_discounting,exponential_discounting,delay,frontend_delay,lab_experiment,real_reward,matching_task,health_domain,other_domain,negative_framing,neutral_framing,stakes,sample_size,students,males_only,females_only,north_america,asia,africa,citations,publication_year,elicitation_method,discounting,domain,money_domain,nobs,instrument,country,continent,impact_factor,year,invperst,invperst_origse
35,30,Warner & Pleeter (2001),0.0,,0,0,3.4011973816621555,0,0,1,0,0,0,0,0,1.703449589162907,9.324739912284679,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,11212.0,0.009444053865108134,USA,North America,2.329,2001,0.022727272727272728,
35,30,Warner & Pleeter (2001),0.099,,0,0,3.4011973816621555,0,0,1,0,0,0,0,0,1.703449589162907,9.324739912284679,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,11212.0,0.009444053865108134,USA,North America,2.329,2001,0.022727272727272728,
35,30,Warner & Pleeter (2001),0.294,,0,0,3.4011973816621555,0,0,1,0,0,0,0,0,1.6188176026847738,10.920003637661642,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,55271.0,0.004253548008323874,USA,North America,2.329,2001,0.022727272727272728,
35,30,Warner & Pleeter (2001),0.389,,0,0,3.4011973816621555,0,0,1,0,0,0,0,0,1.6188176026847738,10.920003637661642,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,55271.0,0.004253548008323874,USA,North America,2.329,2001,0.022727272727272728,
36,8,Burks et al. (2012),0.010101010101010166,0.01,0,1,-2.4849066497880004,0,0,1,0,0,0,0,0,0.5979959953905486,6.974478911025045,0,0,0,1,0,0,2.3774864011671637,0.8489320409220444,choice,exponential,money,1,1069.0,0.0305851875103308,USA,North America,0.384,2012,1.0,1.0
37,2,Andersen et al. (2013),0.105,0.0003105793788418635,0,1,0.0,0,0,1,0,0,0,0,0,0.7945191183017244,4.48863636973214,0,0,0,0,0,0,1.9095425048844386,0.9508830710988468,choice,exponential,money,1,89.0,0.105999788000636,Denmark,Europe,0.531,2013,0.07692307692307693,0.2
37,2,Andersen et al. (2013),0.247,0.0003105793788418635,0,1,0.0,0,0,1,0,0,0,0,0,0.7945191183017244,4.48863636973214,0,0,0,0,0,0,1.9095425048844386,0.9508830710988468,choice,exponential,money,1,89.0,0.105999788000636,Denmark,Europe,0.531,2013,0.07692307692307693,0.2
37,2,Andersen et al. (2013),0.121,0.00026148657586537433,0,1,0.0,0,0,1,0,0,0,0,0,0.8910723598039801,4.6913478822291435,0,0,0,0,0,0,1.9095425048844386,0.9508830710988468,choice,exponential,money,1,109.0,0.09578262852211514,Denmark,Europe,0.531,2013,0.07692307692307693,0.2
37,2,Andersen et al. (2013),0.243,0.00026148657586537433,0,1,0.0,0,0,1,0,0,0,0,0,0.8910723598039801,4.6913478822291435,0,0,0,0,0,0,1.9095425048844386,0.9508830710988468,choice,exponential,money,1,109.0,0.09578262852211514,Denmark,Europe,0.531,2013,0.07692307692307693,0.2
37,2,Andersen et al. (2013),0.059,0.012365641548625404,0,1,0.0,0,0,1,0,0,0,0,0,0.8910723598039801,5.288267030694535,0,0,0,0,0,0,1.9095425048844386,0.9508830710988468,choice,exponential,money,1,198.0,0.07106690545187015,Denmark,Europe,0.531,2013,0.07692307692307693,0.2
37,2,Andersen et al. (2013),0.077,,0,1,0.0,0,0,1,0,0,0,0,0,0.7945191183017244,4.48863636973214,0,0,0,0,0,0,1.9095425048844386,0.9508830710988468,choice,exponential,money,1,89.0,0.105999788000636,Denmark,Europe,0.531,2013,0.07692307692307693,
37,2,Andersen et al. (2013),0.136,,0,1,0.0,0,0,1,0,0,0,0,0,0.7945191183017244,4.48863636973214,0,0,0,0,0,0,1.9095425048844386,0.9508830710988468,choice,exponential,money,1,89.0,0.105999788000636,Denmark,Europe,0.531,2013,0.07692307692307693,
37,2,Andersen et al. (2013),0.08,,0,1,0.0,0,0,1,0,0,0,0,0,0.8910723598039801,4.6913478822291435,0,0,0,0,0,0,1.9095425048844386,0.9508830710988468,choice,exponential,money,1,109.0,0.09578262852211514,Denmark,Europe,0.531,2013,0.07692307692307693,
