LABEL,IDSTUDY,IDAUTHOR,COUNTRY,COUNTRYA,ESTIMATE,SE,TSTAT,PRECISION,PCC,PCCSE,N,K,DF,REGRESSION,SIMULATION,RESIDENT,LIGHT,USA,PUBYEAR,DSTYEAR,PERIOD,HOUR,DAY,MONTH,DID,LOG,MAIN,CITATIONS,JOURNAL,IMPACT,WEIGHT,LATITUDE,DAYLIGHT,EUROPE,REFERENCE
Belzer et al. (2008),7,5,USA,USA,-0.5,0.3,-1.6666666666666667,3.333333333333333,-0.05289598709236512,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.4,0.2,-2,5,-0.06343614796955512,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,0.0,0.3,0,3.333333333333333,0,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.1,0.5,-0.2,2,-0.0063562888530585065,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.2,0.2,-1,5,-0.031766046899489794,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.7000000000000001,0.25,-2.8,4,-0.08863955695672314,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.5,0.2,-2.5,5,-0.07920559147847744,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.2,0.3,-0.6666666666666666,3.333333333333333,-0.021183303122139858,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.4,0.2,-2,5,-0.06343614796955512,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.4,0.5,-0.8,2,-0.025417454631005917,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.2,0.3,-0.6666666666666666,3.333333333333333,-0.021183303122139858,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.2,0.4,-0.5,2.5,-0.015889037089179058,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,0.0,0.04,0,25,0,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.3,0.4,-0.75,2.5,-0.023829795864119575,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.2,0.2,-1,5,-0.031766046899489794,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
