idstudy,e,se,t,prec,longr,pubdate,cs,tscs,usdata,csection
29,-0.29,0.05178571428571428,-5.6,19.31034482758621,0,1991,0,1,0,1
29,-0.3,0.07692307692307693,-3.8999999999999995,13.0,0,1991,0,1,0,1
29,-0.18,0.09999999999999999,-1.8,10.0,0,1991,0,1,0,1
31,-0.25,0.0573394495412844,-4.36,17.44,0,1983,0,0,0,0
32,-0.7767,0.3922727272727273,-1.9799999999999998,2.549246813441483,1,1985,0,0,1,0
32,-0.1923,0.09761421319796955,-1.97,10.244409776391056,0,1985,0,0,1,0
33,-0.7,0.14553014553014554,-4.81,6.871428571428571,1,1982,1,0,0,1
34,-0.43,0.08431372549019608,-5.1,11.86046511627907,1,1991,0,0,0,0
34,-0.3,0.0967741935483871,-3.1,10.333333333333334,1,1991,0,0,0,0
34,-0.29,0.10357142857142856,-2.8,9.655172413793105,1,1991,0,0,0,0
34,-0.47,0.10930232558139534,-4.3,9.148936170212767,1,1991,0,0,0,0
34,-0.72,0.1411764705882353,-5.1,7.083333333333333,1,1991,0,0,1,0
34,-0.56,0.16969696969696973,-3.2999999999999994,5.8928571428571415,1,1991,0,0,1,0
35,-0.6331,0.0687,-9.215429403202329,14.55604075691412,1,2011,0,0,0,0
35,-0.3254,0.122,-2.6672131147540985,8.19672131147541,1,2011,0,0,0,0
36,-0.292,0.11679999999999999,-2.5,8.56164383561644,1,2010,0,1,0,1
36,-0.104,0.13866666666666666,-0.75,7.211538461538462,0,2010,0,1,0,1
37,-0.331,0.144,-2.2986111111111116,6.944444444444445,1,2010,0,1,1,1
37,-0.545,0.209,-2.607655502392345,4.784688995215311,1,2010,0,1,1,1
38,-0.314,0.05,-6.279999999999999,20.0,1,2010,0,1,0,1
38,-0.84,0.046,-18.26086956521739,21.73913043478261,1,2010,0,1,0,1
38,-0.36,0.085,-4.235294117647058,11.76470588235294,1,2010,0,1,0,1
38,-0.316,0.105,-3.0095238095238095,9.523809523809524,1,2010,0,1,0,1
38,-0.408,0.142,-2.8732394366197185,7.042253521126761,1,2010,0,1,0,1
38,-0.416,0.308,-1.3506493506493507,3.2467532467532467,1,2010,0,1,0,1
38,-0.37,0.37,-1.0,2.7027027027027026,1,2010,0,1,0,1
38,-0.591,0.388,-1.5231958762886597,2.5773195876288657,1,2010,0,1,0,1
38,-0.122,0.02,-6.1,50.0,0,2010,0,1,0,1
38,-0.029,0.022,-1.3181818181818183,45.45454545454546,0,2010,0,1,0,1
38,-0.031,0.023,-1.3478260869565217,43.47826086956522,0,2010,0,1,0,1
38,-0.042,0.027,-1.5555555555555556,37.03703703703704,0,2010,0,1,0,1
38,-0.106,0.029,-3.655172413793103,34.48275862068965,0,2010,0,1,0,1
38,-0.09,0.03,-3.0,33.333333333333336,0,2010,0,1,0,1
38,-0.102,0.031,-3.290322580645161,32.25806451612903,0,2010,0,1,0,1
38,-0.169,0.039,-4.333333333333334,25.641025641025642,0,2010,0,1,0,1
38,-0.19,0.045,-4.222222222222222,22.22222222222222,0,2010,0,1,0,1
39,-0.055,0.027679919476597883,-1.9870000000000003,36.12727272727273,0,2010,0,0,0,0
40,-0.118,0.015,-7.866666666666666,66.66666666666667,1,2009,0,0,1,0
40,-0.102,0.019,-5.368421052631579,52.631578947368425,1,2009,0,0,1,0
40,-0.116,0.02,-5.8,50.0,1,2009,0,0,1,0
40,-0.091,0.012,-7.583333333333333,83.33333333333333,0,2009,0,0,1,0
40,-0.065,0.018,-3.6111111111111116,55.55555555555556,0,2009,0,0,1,0
40,-0.085,0.018,-4.722222222222223,55.55555555555556,0,2009,0,0,1,0
41,-0.593,0.07782152230971127,-7.620000000000001,12.84991568296796,1,2001,1,0,1,1
41,-0.351,0.04909090909090909,-7.15,20.37037037037037,0,2001,1,0,1,1
42,-0.4646,0.27118841933224375,-1.7132,3.6874730951356005,1,2003,0,0,0,0
42,-0.0919,0.2042222222222222,-0.45000000000000007,4.896626768226334,0,2003,0,0,0,0
43,-0.466,0.188,-2.4787234042553195,5.319148936170213,1,2003,0,0,0,0
44,-0.86,0.3909090909090909,-2.2,2.558139534883721,1,2005,0,1,0,1
45,-0.75,0.345,-2.173913043478261,2.8985507246376816,1,2007,0,0,1,0
46,-0.47,0.0878997568730129,-5.347,11.376595744680852,1,2008,0,0,0,0
