effect,se,n_obs,study_id
0.0122242417423724,0.0225802503127974,1969,19
-0.0066240512993612,0.0342185447951458,862,19
-0.0048931675335949,0.0342188858811946,862,19
-0.0368851325504423,0.034196009720323,862,19
-0.0049775134570822,0.0337287450343542,887,19
0.0463485052244835,0.0336929151676639,887,19
-0.0412340488953017,0.0337004767187547,887,19
0.0025286472619347,0.0466758535761844,467,19
0.0298440841734721,0.0466552117276347,467,19
0.0492632953876265,0.0466193300471698,467,19
-0.1300068259920676,0.0359659602445121,768,19
0.0671813197716635,0.0361918620954922,768,19
0.046468835092928,0.0362346273641284,768,19
-0.1209459727675818,0.0357962023628732,777,19
0.0085066920781044,0.036059617522259,777,19
0.0264510289599312,0.0360483049542426,777,19
-0.1731335147282035,0.0487000897685686,417,19
0.076625133745806,0.0493014426426503,417,19
0.0997261663515811,0.049200321319662,417,19
-0.0292099950254429,0.0125944394135675,6307,19
3.7167598180934485e-05,0.0125998157833367,6307,19
0.0011009541107113,0.0125998081559192,6307,19
-0.0286499959267205,0.012491941351935,6411,19
0.0096449419919256,0.0124964900591037,6411,19
-0.002545691469054,0.0124970308480835,6411,19
-0.0124606661763139,0.0171334159924316,3414,19
0.0186259081740489,0.017131773795601,3414,19
0.0061225281716988,0.0171344251306906,3414,19
-0.0328281724610961,0.0125059704613699,6399,19
0.0096940801688991,0.0125121267296256,6399,19
0.0027554971052098,0.0125126671826744,6399,19
-0.0197718350531509,0.0124039115766316,6509,19
0.0144682462306456,0.0124050382120152,6509,19
-0.0032304420309996,0.0124062720552221,6509,19
-0.0161939411448154,0.0524795055438002,375,19
0.0698856500469465,0.052358059359931,375,19
0.0389454717659434,0.0524465686448039,375,19
-0.0310649685295442,0.0125066756417645,6399,19
0.0097482488257563,0.0125121201403386,6399,19
0.0037903206521063,0.0125126248033389,6399,19
-0.0207067540404795,0.0124036767745553,6509,19
0.0144467052511272,0.0124050420761021,6509,19
-0.0027335894182801,0.0124062904368097,6509,19
